timestamp_iso,route_id,label,origin,dest,price_usd,airline,stops,depart_date,booking_url
2026-08-10T10:40:19+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,tpe,Taipei,OAK,TPE,400,"Alaska, Asiana Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,sgn,Ho Chi Minh City,OAK,SGN,644,"Alaska, Cathay Pacific, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,tpe,Taipei,OAK,TPE,400,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T08:16:35+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T08:16:35+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T08:16:35+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-11T08:16:35+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T11:32:22+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T11:32:22+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-11T11:32:22+00:00,tpe,Taipei,OAK,TPE,401,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T15:29:56+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T15:29:56+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T15:29:56+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-11T15:29:56+00:00,tpe,Taipei,OAK,TPE,401,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T19:44:20+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T19:44:20+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T22:22:49+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,429,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
